age_demande,age_percu_moyen,age_percu_std,mae
18.0,28.446,3.371,10.446
22.0,29.857,2.950,7.857
26.0,29.364,2.723,3.456
30.0,31.257,3.910,2.954
34.0,31.595,3.471,3.460
38.0,33.546,3.998,5.176
42.0,44.214,6.114,5.227
46.0,45.130,5.974,5.246
50.0,49.588,7.085,5.939
54.0,51.787,5.891,4.960
58.0,53.978,6.459,5.504
62.0,56.943,3.878,5.142
66.0,57.366,3.917,8.634
70.0,58.100,4.054,11.900
