w,fid,acc_gender,acc_skin,age_mae,lpips_div
1.0,41.25888442993164,71.1,25.55,13.984083557128907,0.46191898458415553
2.0,44.06072235107422,83.35,36.45,13.712638427734374,0.42174445323291276
3.0,50.274940490722656,89.65,45.65,12.478800964355468,0.42205790767357465
5.0,58.594688415527344,94.8,58.55,11.754073303222656,0.3434487382127416
8.0,67.46344757080078,97.0,64.8,11.069692596435546,0.2535367758412446
