age_demande,age_percu_moyen,age_percu_std,mae
18.0,30.728,4.524,12.728
22.0,32.172,4.863,10.172
26.0,31.383,3.625,5.383
30.0,33.000,4.722,4.300
34.0,34.560,6.065,4.857
38.0,32.125,4.048,6.467
42.0,37.035,5.823,6.404
46.0,36.964,5.613,9.424
50.0,38.959,6.167,11.391
54.0,40.395,7.028,14.108
58.0,41.821,6.276,16.179
62.0,44.423,8.447,17.577
66.0,46.249,6.338,19.751
70.0,46.953,8.191,23.047
