age_demande,age_percu_moyen,age_percu_std,mae
18.0,29.125,3.565,11.125
22.0,30.958,3.228,8.958
26.0,29.393,2.959,3.429
30.0,30.469,4.836,2.991
34.0,30.318,3.252,4.355
38.0,30.325,2.145,7.675
42.0,33.651,5.253,9.240
46.0,35.025,5.453,10.975
50.0,35.351,5.386,14.649
54.0,35.170,5.428,18.830
58.0,35.378,7.287,22.622
62.0,39.883,6.216,22.117
66.0,38.496,8.587,27.504
70.0,38.110,7.887,31.890
